idsoil_data,probe,temperature,moisture,reading_time
225,1,84,33,"2014-01-13 19:06:40"
226,2,44,36,"2014-01-13 19:06:40"
227,3,87,37,"2014-01-13 19:06:40"
228,4,36,28,"2014-01-13 19:06:40"
229,1,63,30,"2014-01-14 01:35:53"
230,2,61,39,"2014-01-14 01:35:53"
231,3,30,30,"2014-01-14 01:35:53"
232,4,40,44,"2014-01-14 01:35:53"
233,1,87,25,"2014-01-14 05:43:08"
234,2,33,25,"2014-01-14 05:43:08"
235,3,46,42,"2014-01-14 05:43:08"
236,4,70,36,"2014-01-14 05:43:08"
237,1,85,26,"2014-01-14 14:51:08"
238,2,89,36,"2014-01-14 14:51:08"
239,3,73,35,"2014-01-14 14:51:08"
240,4,51,33,"2014-01-14 14:51:08"
241,1,38,39,"2014-01-14 17:51:10"
242,2,53,38,"2014-01-14 17:51:10"
243,3,55,26,"2014-01-14 17:51:10"
244,4,53,31,"2014-01-14 17:51:10"
245,1,85,36,"2014-01-15 02:23:13"
246,2,64,42,"2014-01-15 02:23:13"
247,3,64,38,"2014-01-15 02:23:13"
248,4,33,39,"2014-01-15 02:23:13"
249,1,32,30,"2014-01-15 08:51:31"
250,2,40,39,"2014-01-15 08:51:31"
251,3,68,37,"2014-01-15 08:51:31"
252,4,80,28,"2014-01-15 08:51:31"
253,1,57,26,"2014-01-15 15:49:35"
254,2,80,37,"2014-01-15 15:49:35"
255,3,66,39,"2014-01-15 15:49:35"
256,4,50,25,"2014-01-15 15:49:35"
257,1,69,41,"2014-01-15 22:48:35"
258,2,60,27,"2014-01-15 22:48:35"
259,3,66,29,"2014-01-15 22:48:35"
260,4,42,34,"2014-01-15 22:48:35"
261,1,64,37,"2014-01-16 05:22:51"
262,2,72,29,"2014-01-16 05:22:51"
263,3,38,43,"2014-01-16 05:22:51"
264,4,88,38,"2014-01-16 05:22:51"
265,1,53,25,"2014-01-16 11:15:43"
266,2,64,44,"2014-01-16 11:15:43"
267,3,46,39,"2014-01-16 11:15:43"
268,4,30,38,"2014-01-16 11:15:43"
269,1,57,33,"2014-01-16 19:40:30"
270,2,81,26,"2014-01-16 19:40:30"
271,3,49,35,"2014-01-16 19:40:30"
272,4,73,32,"2014-01-16 19:40:30"
273,1,87,27,"2014-01-17 05:10:07"
274,2,76,35,"2014-01-17 05:10:07"
275,3,48,42,"2014-01-17 05:10:07"
276,4,74,37,"2014-01-17 05:10:07"
277,1,59,34,"2014-01-17 15:26:28"
278,2,37,31,"2014-01-17 15:26:28"
279,3,86,35,"2014-01-17 15:26:28"
280,4,80,26,"2014-01-17 15:26:28"
281,1,76,32,"2014-01-17 23:32:43"
282,2,53,30,"2014-01-17 23:32:43"
283,3,68,27,"2014-01-17 23:32:43"
284,4,76,31,"2014-01-17 23:32:43"
285,1,67,31,"2014-01-18 03:30:51"
286,2,42,37,"2014-01-18 03:30:51"
287,3,72,28,"2014-01-18 03:30:51"
288,4,46,38,"2014-01-18 03:30:51"
289,1,42,27,"2014-01-18 06:57:30"
290,2,69,30,"2014-01-18 06:57:30"
291,3,57,25,"2014-01-18 06:57:30"
292,4,40,34,"2014-01-18 06:57:30"
293,1,66,28,"2014-01-18 10:17:05"
294,2,73,43,"2014-01-18 10:17:05"
295,3,70,37,"2014-01-18 10:17:05"
296,4,68,42,"2014-01-18 10:17:05"
297,1,58,27,"2014-01-18 19:24:10"
298,2,52,25,"2014-01-18 19:24:10"
299,3,51,34,"2014-01-18 19:24:10"
300,4,36,25,"2014-01-18 19:24:10"
301,1,52,44,"2014-01-19 06:00:53"
302,2,67,39,"2014-01-19 06:00:53"
303,3,46,41,"2014-01-19 06:00:53"
304,4,63,35,"2014-01-19 06:00:53"
305,1,70,34,"2014-01-19 12:42:55"
306,2,47,36,"2014-01-19 12:42:55"
307,3,54,43,"2014-01-19 12:42:55"
308,4,51,29,"2014-01-19 12:42:55"
309,1,79,29,"2014-01-19 18:30:18"
310,2,67,30,"2014-01-19 18:30:18"
311,3,47,38,"2014-01-19 18:30:18"
312,4,54,36,"2014-01-19 18:30:18"
313,1,43,31,"2014-01-20 00:45:19"
314,2,78,27,"2014-01-20 00:45:19"
315,3,46,31,"2014-01-20 00:45:19"
316,4,66,40,"2014-01-20 00:45:19"
317,1,42,25,"2014-01-20 08:04:09"
318,2,43,36,"2014-01-20 08:04:09"
319,3,68,27,"2014-01-20 08:04:09"
320,4,64,35,"2014-01-20 08:04:09"
321,1,56,33,"2014-01-20 12:27:43"
322,2,73,30,"2014-01-20 12:27:43"
323,3,70,31,"2014-01-20 12:27:43"
324,4,51,44,"2014-01-20 12:27:43"
325,1,31,43,"2014-01-20 18:17:06"
326,2,59,34,"2014-01-20 18:17:06"
327,3,61,29,"2014-01-20 18:17:06"
328,4,74,44,"2014-01-20 18:17:06"
329,1,65,36,"2014-01-20 19:39:08"
330,2,74,43,"2014-01-20 19:39:08"
331,3,33,42,"2014-01-20 19:39:08"
332,4,82,38,"2014-01-20 19:39:08"
333,1,89,32,"2014-01-21 02:39:47"
334,2,54,39,"2014-01-21 02:39:47"
335,3,87,27,"2014-01-21 02:39:47"
336,4,52,30,"2014-01-21 02:39:47"
337,1,72,42,"2014-01-21 04:02:01"
338,2,86,37,"2014-01-21 04:02:01"
339,3,45,28,"2014-01-21 04:02:01"
340,4,38,39,"2014-01-21 04:02:01"
341,1,88,34,"2014-01-21 09:46:32"
342,2,41,34,"2014-01-21 09:46:32"
343,3,51,41,"2014-01-21 09:46:32"
344,4,68,41,"2014-01-21 09:46:32"
345,1,59,36,"2014-01-21 20:40:06"
346,2,82,31,"2014-01-21 20:40:06"
347,3,69,42,"2014-01-21 20:40:06"
348,4,55,28,"2014-01-21 20:40:06"
349,1,64,27,"2014-01-22 07:37:09"
350,2,56,40,"2014-01-22 07:37:09"
351,3,36,27,"2014-01-22 07:37:09"
352,4,77,31,"2014-01-22 07:37:09"
353,1,50,42,"2014-01-22 16:28:09"
354,2,54,25,"2014-01-22 16:28:09"
355,3,38,25,"2014-01-22 16:28:09"
356,4,86,32,"2014-01-22 16:28:09"
357,1,50,44,"2014-01-22 22:14:20"
358,2,61,28,"2014-01-22 22:14:20"
359,3,55,38,"2014-01-22 22:14:20"
360,4,38,37,"2014-01-22 22:14:20"
361,1,70,35,"2014-01-23 08:15:11"
362,2,52,27,"2014-01-23 08:15:11"
363,3,53,29,"2014-01-23 08:15:11"
364,4,73,34,"2014-01-23 08:15:11"
365,1,71,26,"2014-01-23 19:14:12"
366,2,69,42,"2014-01-23 19:14:12"
367,3,66,27,"2014-01-23 19:14:12"
368,4,38,43,"2014-01-23 19:14:12"
369,1,83,30,"2014-01-23 21:40:22"
370,2,42,35,"2014-01-23 21:40:22"
371,3,48,40,"2014-01-23 21:40:22"
372,4,62,40,"2014-01-23 21:40:22"
373,1,62,31,"2014-01-23 23:46:39"
374,2,88,36,"2014-01-23 23:46:39"
375,3,81,37,"2014-01-23 23:46:39"
376,4,50,34,"2014-01-23 23:46:39"
377,1,67,30,"2014-01-24 04:43:15"
378,2,58,40,"2014-01-24 04:43:15"
379,3,43,35,"2014-01-24 04:43:15"
380,4,48,31,"2014-01-24 04:43:15"
381,1,38,39,"2014-01-24 07:34:40"
382,2,52,29,"2014-01-24 07:34:40"
383,3,36,36,"2014-01-24 07:34:40"
384,4,34,38,"2014-01-24 07:34:40"
385,1,56,39,"2014-01-24 08:09:48"
386,2,83,28,"2014-01-24 08:09:48"
387,3,61,32,"2014-01-24 08:09:48"
388,4,57,31,"2014-01-24 08:09:48"
389,1,62,42,"2014-01-24 17:56:31"
390,2,52,31,"2014-01-24 17:56:31"
391,3,77,40,"2014-01-24 17:56:31"
392,4,41,36,"2014-01-24 17:56:31"
393,1,66,36,"2014-01-25 01:40:02"
394,2,83,29,"2014-01-25 01:40:02"
395,3,38,40,"2014-01-25 01:40:02"
396,4,46,30,"2014-01-25 01:40:02"
397,1,60,40,"2014-01-25 10:39:58"
398,2,58,29,"2014-01-25 10:39:58"
399,3,43,41,"2014-01-25 10:39:58"
400,4,32,43,"2014-01-25 10:39:58"
401,1,77,37,"2014-01-25 21:19:54"
402,2,34,31,"2014-01-25 21:19:54"
403,3,86,33,"2014-01-25 21:19:54"
404,4,45,25,"2014-01-25 21:19:54"
405,1,64,42,"2014-01-26 07:24:55"
406,2,35,39,"2014-01-26 07:24:55"
407,3,54,34,"2014-01-26 07:24:55"
408,4,75,38,"2014-01-26 07:24:55"
409,1,58,39,"2014-01-26 14:17:41"
410,2,39,31,"2014-01-26 14:17:41"
411,3,76,30,"2014-01-26 14:17:41"
412,4,69,27,"2014-01-26 14:17:41"
413,1,87,29,"2014-01-26 22:08:53"
414,2,62,34,"2014-01-26 22:08:53"
415,3,89,37,"2014-01-26 22:08:53"
416,4,35,31,"2014-01-26 22:08:53"
417,1,32,29,"2014-01-27 07:13:36"
418,2,39,29,"2014-01-27 07:13:36"
419,3,68,27,"2014-01-27 07:13:36"
420,4,48,41,"2014-01-27 07:13:36"
421,1,80,28,"2014-01-27 09:32:41"
422,2,67,28,"2014-01-27 09:32:41"
423,3,63,37,"2014-01-27 09:32:41"
424,4,61,33,"2014-01-27 09:32:41"
425,1,82,34,"2014-01-27 12:32:53"
426,2,43,35,"2014-01-27 12:32:53"
427,3,78,39,"2014-01-27 12:32:53"
428,4,64,28,"2014-01-27 12:32:53"
429,1,71,27,"2014-01-27 14:21:35"
430,2,49,33,"2014-01-27 14:21:35"
431,3,32,44,"2014-01-27 14:21:35"
432,4,46,36,"2014-01-27 14:21:35"
433,1,51,35,"2014-01-27 21:37:34"
434,2,39,36,"2014-01-27 21:37:34"
435,3,88,39,"2014-01-27 21:37:34"
436,4,79,42,"2014-01-27 21:37:34"
437,1,83,43,"2014-01-28 00:20:36"
438,2,63,37,"2014-01-28 00:20:36"
439,3,57,35,"2014-01-28 00:20:36"
440,4,72,33,"2014-01-28 00:20:36"
441,1,86,31,"2014-01-28 05:17:55"
442,2,66,34,"2014-01-28 05:17:55"
443,3,86,39,"2014-01-28 05:17:55"
444,4,46,28,"2014-01-28 05:17:55"
445,1,88,43,"2014-01-28 08:38:53"
446,2,63,40,"2014-01-28 08:38:53"
447,3,67,41,"2014-01-28 08:38:53"
448,4,63,44,"2014-01-28 08:38:53"
449,1,39,31,"2014-01-28 16:18:12"
450,2,54,38,"2014-01-28 16:18:12"
451,3,89,40,"2014-01-28 16:18:12"
452,4,64,36,"2014-01-28 16:18:12"
453,1,54,31,"2014-01-28 22:24:56"
454,2,81,36,"2014-01-28 22:24:56"
455,3,61,41,"2014-01-28 22:24:56"
456,4,35,44,"2014-01-28 22:24:56"
457,1,74,43,"2014-01-29 04:20:54"
458,2,68,38,"2014-01-29 04:20:54"
459,3,34,26,"2014-01-29 04:20:54"
460,4,87,40,"2014-01-29 04:20:54"
461,1,32,37,"2014-01-29 10:51:33"
462,2,32,37,"2014-01-29 10:51:33"
463,3,47,31,"2014-01-29 10:51:33"
464,4,66,41,"2014-01-29 10:51:33"
465,1,86,40,"2014-01-29 14:04:01"
466,2,44,25,"2014-01-29 14:04:01"
467,3,32,26,"2014-01-29 14:04:01"
468,4,77,36,"2014-01-29 14:04:01"
469,1,85,44,"2014-01-29 20:00:05"
470,2,44,36,"2014-01-29 20:00:05"
471,3,88,37,"2014-01-29 20:00:05"
472,4,48,35,"2014-01-29 20:00:05"
473,1,40,33,"2014-01-30 00:14:21"
474,2,34,30,"2014-01-30 00:14:21"
475,3,68,27,"2014-01-30 00:14:21"
476,4,43,26,"2014-01-30 00:14:21"
477,1,68,29,"2014-01-30 00:50:17"
478,2,51,36,"2014-01-30 00:50:17"
479,3,56,43,"2014-01-30 00:50:17"
480,4,75,41,"2014-01-30 00:50:17"
481,1,72,44,"2014-01-30 10:55:41"
482,2,35,29,"2014-01-30 10:55:41"
483,3,86,33,"2014-01-30 10:55:41"
484,4,80,26,"2014-01-30 10:55:41"
485,1,71,44,"2014-01-30 19:46:00"
486,2,87,41,"2014-01-30 19:46:00"
487,3,52,43,"2014-01-30 19:46:00"
488,4,55,26,"2014-01-30 19:46:00"
489,1,67,41,"2014-01-31 06:28:43"
490,2,33,41,"2014-01-31 06:28:43"
491,3,49,35,"2014-01-31 06:28:43"
492,4,31,37,"2014-01-31 06:28:43"
493,1,42,25,"2014-01-31 10:47:46"
494,2,43,37,"2014-01-31 10:47:46"
495,3,72,26,"2014-01-31 10:47:46"
496,4,33,36,"2014-01-31 10:47:46"
497,1,56,26,"2014-01-31 21:15:45"
498,2,44,33,"2014-01-31 21:15:45"
499,3,88,42,"2014-01-31 21:15:45"
500,4,36,26,"2014-01-31 21:15:45"
501,1,58,37,"2014-02-01 00:35:53"
502,2,45,32,"2014-02-01 00:35:53"
503,3,85,41,"2014-02-01 00:35:53"
504,4,43,30,"2014-02-01 00:35:53"
505,1,88,32,"2014-02-01 03:17:29"
506,2,77,27,"2014-02-01 03:17:29"
507,3,80,39,"2014-02-01 03:17:29"
508,4,67,33,"2014-02-01 03:17:29"
509,1,75,34,"2014-02-01 03:51:50"
510,2,53,30,"2014-02-01 03:51:50"
511,3,45,29,"2014-02-01 03:51:50"
512,4,63,25,"2014-02-01 03:51:50"
513,1,53,42,"2014-02-01 07:46:51"
514,2,40,42,"2014-02-01 07:46:51"
515,3,49,26,"2014-02-01 07:46:51"
516,4,77,27,"2014-02-01 07:46:51"
517,1,62,31,"2014-02-01 17:00:01"
518,2,89,40,"2014-02-01 17:00:01"
519,3,55,31,"2014-02-01 17:00:01"
520,4,58,41,"2014-02-01 17:00:01"
521,1,69,25,"2014-02-01 17:08:53"
522,2,32,40,"2014-02-01 17:08:53"
523,3,59,43,"2014-02-01 17:08:53"
524,4,89,31,"2014-02-01 17:08:53"
525,1,35,25,"2014-02-01 21:27:02"
526,2,45,32,"2014-02-01 21:27:02"
527,3,81,34,"2014-02-01 21:27:02"
528,4,53,42,"2014-02-01 21:27:02"
529,1,85,40,"2014-02-01 23:44:15"
530,2,41,41,"2014-02-01 23:44:15"
531,3,86,39,"2014-02-01 23:44:15"
532,4,76,37,"2014-02-01 23:44:15"
533,1,71,26,"2014-02-02 03:23:16"
534,2,32,39,"2014-02-02 03:23:16"
535,3,36,35,"2014-02-02 03:23:16"
536,4,37,29,"2014-02-02 03:23:16"
537,1,82,27,"2014-02-02 05:20:45"
538,2,64,25,"2014-02-02 05:20:45"
539,3,88,42,"2014-02-02 05:20:45"
540,4,59,39,"2014-02-02 05:20:45"
541,1,67,26,"2014-02-02 09:57:15"
542,2,77,31,"2014-02-02 09:57:15"
543,3,34,25,"2014-02-02 09:57:15"
544,4,41,37,"2014-02-02 09:57:15"
545,1,70,36,"2014-02-02 18:28:33"
546,2,37,25,"2014-02-02 18:28:33"
547,3,83,40,"2014-02-02 18:28:33"
548,4,89,26,"2014-02-02 18:28:33"
549,1,72,40,"2014-02-03 04:19:59"
550,2,36,25,"2014-02-03 04:19:59"
551,3,34,32,"2014-02-03 04:19:59"
552,4,87,40,"2014-02-03 04:19:59"
553,1,89,39,"2014-02-03 10:14:35"
554,2,70,44,"2014-02-03 10:14:35"
555,3,55,28,"2014-02-03 10:14:35"
556,4,67,33,"2014-02-03 10:14:35"
557,1,73,40,"2014-02-03 20:14:28"
558,2,33,42,"2014-02-03 20:14:28"
559,3,59,31,"2014-02-03 20:14:28"
560,4,71,33,"2014-02-03 20:14:28"
561,1,30,42,"2014-02-04 03:26:43"
562,2,31,29,"2014-02-04 03:26:43"
563,3,50,40,"2014-02-04 03:26:43"
564,4,78,42,"2014-02-04 03:26:43"
565,1,71,27,"2014-02-04 10:15:16"
566,2,58,25,"2014-02-04 10:15:16"
567,3,61,39,"2014-02-04 10:15:16"
568,4,83,28,"2014-02-04 10:15:16"
569,1,82,43,"2014-02-04 20:50:05"
570,2,53,41,"2014-02-04 20:50:05"
571,3,52,31,"2014-02-04 20:50:05"
572,4,44,40,"2014-02-04 20:50:05"
573,1,77,42,"2014-02-05 01:29:26"
574,2,37,44,"2014-02-05 01:29:26"
575,3,78,39,"2014-02-05 01:29:26"
576,4,43,42,"2014-02-05 01:29:26"
577,1,72,27,"2014-02-05 03:01:45"
578,2,38,33,"2014-02-05 03:01:45"
579,3,82,34,"2014-02-05 03:01:45"
580,4,63,29,"2014-02-05 03:01:45"
581,1,70,36,"2014-02-05 03:45:23"
582,2,65,31,"2014-02-05 03:45:23"
583,3,50,31,"2014-02-05 03:45:23"
584,4,30,33,"2014-02-05 03:45:23"
585,1,84,32,"2014-02-05 04:56:28"
586,2,48,28,"2014-02-05 04:56:28"
587,3,50,26,"2014-02-05 04:56:28"
588,4,74,27,"2014-02-05 04:56:28"
589,1,86,33,"2014-02-05 13:05:00"
590,2,74,25,"2014-02-05 13:05:00"
591,3,66,32,"2014-02-05 13:05:00"
592,4,63,25,"2014-02-05 13:05:00"
593,1,52,27,"2014-02-05 23:13:32"
594,2,71,33,"2014-02-05 23:13:32"
595,3,38,43,"2014-02-05 23:13:32"
596,4,32,28,"2014-02-05 23:13:32"
597,1,53,28,"2014-02-06 05:42:43"
598,2,69,37,"2014-02-06 05:42:43"
599,3,40,31,"2014-02-06 05:42:43"
600,4,59,37,"2014-02-06 05:42:43"
601,1,84,34,"2014-02-06 16:26:05"
602,2,45,38,"2014-02-06 16:26:05"
603,3,65,26,"2014-02-06 16:26:05"
604,4,57,25,"2014-02-06 16:26:05"
605,1,38,32,"2014-02-07 00:26:33"
606,2,40,30,"2014-02-07 00:26:33"
